CASENUM HOUR LGT_COND WEATHER ALCOHOL TYP_INT REST_USE AIR_BAG SEVERITY VTRAFWAY VNUM_LAN VSPD_LIM VALIGN VSURCOND
201313560584 8 1 11 2 1 3 9 0 3 3 70 1 2
201313560617 12 1 10 2 3 3 0 0 5 4 35 1 2
201313560630 10 1 4 2 2 3 9 0 1 4 35 1 2
201313560686 18 2 1 2 1 3 20 0 1 2 55 2 1
201313560735 10 2 1 2 1 3 20 1 1 2 55 1 1
201313560755 20 3 1 2 1 3 20 0 1 2 35 1 1
201313560764 4 2 1 2 2 3 20 0 1 2 45 1 1
201313560797 17 1 10 1 1 3 9 1 1 2 55 4 1
201313560813 13 1 10 2 2 3 20 0 1 3 25 1 2
201313560833 3 2 1 2 1 3 20 0 5 2 35 1 1
201313560853 14 1 10 2 1 3 9 0 3 2 70 1 1
201313560872 21 2 2 2 1 3 20 0 1 2 25 1 2
201313560876 9 1 1 2 2 3 20 0 4 3 25 1 10
201313560883 12 1 1 2 1 3 20 0 1 4 35 1 1
201313561017 14 1 10 2 2 7 20 0 5 4 40 1 1
201313561024 23 2 1 2 1 3 20 0 1 2 45 1 1
201313561025 7 1 1 2 1 3 9 0 1 2 55 1 1
201313561030 12 1 10 2 2 3 20 1 5 4 45 1 1
201313561032 18 1 1 2 1 3 20 0 1 4 45 1 1
201313561067 1 2 1 1 1 3 20 0 6 1 55 1 1
201313561124 13 1 10 2 1 3 20 1 3 2 70 1 2
201313561138 20 3 2 2 1 3 20 0 4 2 25 1 2
201313561151 23 2 1 1 1 3 20 1 1 4 35 1 1
201313561159 15 1 1 2 1 3 9 0 5 2 35 1 1
201313561163 8 1 1 2 2 3 20 0 1 2 45 1 1
201313561217 22 3 1 1 1 7 1 1 5 4 35 1 1
201313561368 13 1 10 2 2 3 20 0 1 2 55 1 2
201313561369 17 1 1 2 1 3 20 1 1 4 45 1 1
201313561420 12 1 1 2 1 3 20 0 3 2 70 1 1
201313561545 7 4 10 2 1 3 20 0 3 2 70 1 1
201313561553 6 4 10 1 1 3 20 1 5 4 45 1 1
201313561582 10 1 1 2 1 3 20 0 3 2 70 1 1
201313561639 12 1 2 2 1 3 20 0 1 4 45 1 2
201313561652 15 1 2 2 1 3 1 0 5 2 45 1 2
201313561668 4 2 1 2 1 3 9 1 2 2 65 1 1
201313561712 8 1 10 2 2 3 20 0 3 2 35 1 1
201313561734 16 1 1 2 1 3 20 1 1 4 35 1 1
201313561744 18 1 1 2 3 3 20 0 5 2 25 1 1
201313561748 20 5 1 2 3 3 20 1 1 2 25 1 1
201313561801 14 1 1 2 1 3 20 1 3 2 70 1 1
201313561813 21 5 1 2 1 3 9 0 1 2 55 1 1
201313561932 18 1 1 2 1 3 20 1 5 4 50 1 1
201313561952 2 2 1 1 1 7 9 1 3 2 70 1 1
201313561953 9 1 1 2 1 0 9 1 3 3 70 1 1
201313561986 21 3 1 1 2 3 20 1 5 4 35 1 1
201313561988 8 1 1 2 3 3 20 0 1 4 35 1 1
201313561999 10 1 1 2 1 7 20 1 3 2 70 1 1
201313562007 15 1 1 2 1 3 9 1 3 2 70 1 1
201313562072 11 1 1 2 1 3 9 1 5 4 45 1 1
201313562103 20 1 2 2 1 3 20 1 3 3 70 1 2
201313562140 0 3 2 2 2 3 9 0 1 2 35 1 2
201313562147 17 1 1 2 1 3 9 0 1 2 45 1 1
201313562249 17 1 10 2 1 3 20 0 3 3 65 1 1
201313562290 15 1 2 2 6 3 20 0 6 2 35 3 2
201313562381 17 1 1 2 1 3 20 1 1 2 55 1 1
201313562407 21 5 1 2 1 3 20 0 6 1 70 2 1
201313562436 18 1 1 2 2 3 20 0 1 3 25 1 1
201313562448 12 1 10 2 1 3 20 1 1 4 35 1 1
201313562460 11 1 1 2 3 3 20 0 5 4 35 1 1
201313562609 16 1 2 2 1 3 0 0 4 4 40 1 2
201313562613 9 1 1 2 2 3 20 1 1 2 25 1 1
201313562637 12 1 10 2 2 3 9 0 3 2 40 1 1
