enrolled,invited,age,female,self.plus1,self.plus2,hispanic,race.white,race.black,race.nwother,english,signed.self.up,phone,pobox,first.day,income
1,1,23,1,1,0,0,1,0,0,1,1,1,0,0,107.7097473
0,1,45,1,0,0,1,0,0,0,0,1,1,0,0,4.846839905
1,1,29,0,0,0,0,1,0,0,1,1,1,0,0,73.6961441
0,1,30,1,0,0,0,0,1,0,1,1,1,0,1,145.8476257
0,1,56,1,0,0,0,0,1,0,1,1,1,0,0,20.4806118
1,1,32,1,0,0,0,1,0,0,1,1,1,0,0,34.13435364
0,0,43,0,0,0,0,1,0,0,1,1,1,0,0,0
0,0,54,0,0,0,0,1,0,0,1,1,1,0,0,42.8963623
0,1,25,1,1,0,0,1,0,0,1,1,1,0,0,143.3642883
0,0,44,1,0,0,0,1,0,0,1,1,1,0,0,180.1647186
1,1,56,1,0,0,0,0,1,0,1,1,1,0,0,0
1,0,21,1,0,0,0,1,0,0,1,1,1,0,0,0
0,1,40,0,1,0,0,1,0,0,1,1,1,0,0,96.37187958
1,1,28,1,1,0,0,1,0,0,1,0,1,0,0,96.37187958
0,1,48,1,0,0,0,1,0,0,1,1,1,0,0,116.0568008
0,0,38,1,1,0,0,1,0,0,1,1,1,0,0,143.3642883
1,0,36,1,0,0,0,1,0,0,1,1,1,0,0,0
0,0,28,0,1,0,0,1,0,0,1,0,1,0,1,153.0612183
0,1,36,0,1,0,0,1,0,0,1,1,1,0,0,141.7233582
0,1,50,0,1,0,1,0,0,0,1,1,1,0,0,62.35827637
0,0,53,0,0,0,0,1,0,0,1,1,1,0,0,57.71006393
1,1,56,0,0,0,0,1,0,0,1,1,1,0,0,8.57927227
0,1,35,0,1,0,0,1,1,0,1,0,1,0,0,94.37199402
1,1,52,1,1,0,0,1,0,0,1,0,1,0,0,128.6890869
1,0,57,1,0,0,0,1,0,0,1,1,1,0,0,103.8781128
1,1,50,0,0,0,0,1,0,0,1,1,1,0,0,0
1,1,22,1,1,0,0,1,0,0,1,1,0,0,0,0
0,0,62,1,0,0,0,1,0,0,1,1,1,0,0,128.6890869
0,0,51,0,0,0,0,1,0,0,1,1,1,0,0,5.668934345
0,0,42,1,0,0,1,1,0,1,0,1,1,0,0,17.00680351
1,1,23,1,0,0,0,1,0,0,1,1,0,0,0,0
0,1,33,1,1,0,0,1,0,0,1,1,1,0,1,209.7505646
0,0,40,1,0,0,0,1,0,0,1,1,1,0,0,61.4418335
